 years months days precipitation
12097 1993 2 13 2.0
12098 1993 2 14 0.0
12099 1993 2 15 12.8
12100 1993 2 16 0.3
12101 1993 2 17 2.8
12102 1993 2 18 32.3
12103 1993 2 19 0.0
12104 1993 2 20 0.0
12105 1993 2 21 0.0
12106 1993 2 22 0.0
12107 1993 2 23 0.0
12108 1993 2 24 0.0
12109 1993 2 25 0.0
12110 1993 2 26 0.0
12111 1993 2 27 0.0
12112 1993 2 28 0.0
12113 1993 3 1 6.6
12114 1993 3 2 0.0
12115 1993 3 3 1.3
12116 1993 3 4 0.0
12117 1993 3 5 63.5
12118 1993 3 6 0.0
12119 1993 3 7 0.0
12120 1993 3 8 0.0
12121 1993 3 9 0.0
12122 1993 3 10 7.5
12123 1993 3 11 0.0
12124 1993 3 12 0.0
12125 1993 3 13 0.0
12126 1993 3 14 0.0
12127 1993 3 15 0.0
12128 1993 3 16 0.0
12129 1993 3 17 0.0
12130 1993 3 18 0.0
12131 1993 3 19 0.0
12132 1993 3 20 0.0
12133 1993 3 21 0.0
12134 1993 3 22 0.0
12135 1993 3 23 0.0
12136 1993 3 24 0.0
12137 1993 3 25 8.2
12138 1993 3 26 4.2
12139 1993 3 27 7.1
12140 1993 3 28 0.8
12141 1993 3 29 0.2
12142 1993 3 30 13.3
12143 1993 3 31 7.67
12144 1993 4 1 0.0
12145 1993 4 2 8.0
12146 1993 4 3 0.0
12147 1993 4 4 0.0
12148 1993 4 5 0.0
12149 1993 4 6 13.7
12150 1993 4 7 18.4
12151 1993 4 8 0.0
12152 1993 4 9 6.3
12153 1993 4 10 9.7
12154 1993 4 11 2.8
12155 1993 4 12 0.0
12156 1993 4 13 0.0
12157 1993 4 14 35.8
12158 1993 4 15 0.0
12159 1993 4 16 5.9
12160 1993 4 17 0.3
12161 1993 4 18 0.0
12162 1993 4 19 11.1
12163 1993 4 20 2.7
12164 1993 4 21 0.0
12165 1993 4 22 0.0
12166 1993 4 23 0.0
12167 1993 4 24 0.0
12168 1993 4 25 0.8
12169 1993 4 26 26.2
12170 1993 4 27 13.3
12171 1993 4 28 0.0
12172 1993 4 29 0.0
12173 1993 4 30 0.0
12174 1993 5 1 0.0
12175 1993 5 2 15.5
12176 1993 5 3 0.0
12177 1993 5 4 0.0
12178 1993 5 5 0.0
12179 1993 5 6 2.3
12180 1993 5 7 0.0
12181 1993 5 8 0.8
12182 1993 5 9 0.1
12183 1993 5 10 0.2
12184 1993 5 11 0.0
12185 1993 5 12 1.8
12186 1993 5 13 17.1
12187 1993 5 14 0.0
12188 1993 5 15 7.3
12189 1993 5 16 0.0
12190 1993 5 17 0.0
12191 1993 5 18 0.0
12192 1993 5 19 1.8
12193 1993 5 20 0.0
12194 1993 5 21 0.0
12195 1993 5 22 0.0
12196 1993 5 23 0.0
12197 1993 5 24 0.8
12198 1993 5 25 0.0
12199 1993 5 26 0.0
12200 1993 5 27 0.0
12201 1993 5 28 1.8
12202 1993 5 29 0.0
12203 1993 5 30 0.0
12204 1993 5 31 0.2
12205 1993 6 1 4.6
12206 1993 6 2 4.0
12207 1993 6 3 0.8
12208 1993 6 4 0.0
12209 1993 6 5 48.6
12210 1993 6 6 0.1
12211 1993 6 7 0.0
12212 1993 6 8 44.7
12213 1993 6 9 20.3
12214 1993 6 10 3.6
12215 1993 6 11 0.0
12216 1993 6 12 0.0
12217 1993 6 13 0.0
12218 1993 6 14 0.0
12219 1993 6 15 1.4
12220 1993 6 16 0.0
12221 1993 6 17 0.0
12222 1993 6 18 0.0
12223 1993 6 19 0.0
12224 1993 6 20 0.0
12225 1993 6 21 35.7
12226 1993 6 22 0.0
12227 1993 6 23 5.4
12228 1993 6 24 0.0
12229 1993 6 25 0.0
12230 1993 6 26 0.0
12231 1993 6 27 25.2
12232 1993 6 28 37.1
12233 1993 6 29 2.0
12234 1993 6 30 0.0
12235 1993 7 1 0.0
12236 1993 7 2 11.8
12237 1993 7 3 0.5
12238 1993 7 4 16.0
12239 1993 7 5 0.0
12240 1993 7 6 0.0
12241 1993 7 7 0.0
12242 1993 7 8 0.0
12243 1993 7 9 0.0
12244 1993 7 10 3.3
12245 1993 7 11 0.0
12246 1993 7 12 0.0
12247 1993 7 13 0.0
12248 1993 7 14 0.0
12249 1993 7 15 0.0
12250 1993 7 16 0.6
12251 1993 7 17 17.1
12252 1993 7 18 0.1
12253 1993 7 19 0.0
12254 1993 7 20 0.0
12255 1993 7 21 0.0
12256 1993 7 22 0.0
12257 1993 7 23 0.0
12258 1993 7 24 0.0
12259 1993 7 25 0.0
12260 1993 7 26 0.0
12261 1993 7 27 1.1
12262 1993 7 28 0.0
12263 1993 7 29 0.3
12264 1993 7 30 23.8
12265 1993 7 31 12.6
12266 1993 8 1 2.2
12267 1993 8 2 0.0
12268 1993 8 3 10.7
12269 1993 8 4 0.0
12270 1993 8 5 14.7
12271 1993 8 6 8.5
12272 1993 8 7 0.8
12273 1993 8 8 0.0
12274 1993 8 9 0.0
12275 1993 8 10 0.0
12276 1993 8 11 0.0
12277 1993 8 12 0.0
12278 1993 8 13 0.3
12279 1993 8 14 0.0
12280 1993 8 15 17.1
12281 1993 8 16 23.8
12282 1993 8 17 0.0
12283 1993 8 18 0.0
12284 1993 8 19 0.0
12285 1993 8 20 0.5
12286 1993 8 21 0.0
12287 1993 8 22 0.0
12288 1993 8 23 0.0
12289 1993 8 24 0.7
12290 1993 8 25 1.0
12291 1993 8 26 7.6
12292 1993 8 27 2.6
12293 1993 8 28 0.0
12294 1993 8 29 0.2
12295 1993 8 30 3.8
12296 1993 8 31 0.0
12297 1993 9 1 0.2
12298 1993 9 2 23.9
12299 1993 9 3 6.2
12300 1993 9 4 0.0
12301 1993 9 5 29.7
12302 1993 9 6 1.9
